,,score,score,score,short review,short review,short review,,,,,
deepseek-r1_32b,only_fcq,2.57,1.25,1.60,0.42,0.99,0.13,"[[2, 32, 80, 59, 24], [2, 30, 83, 35, 30], [5, 22, 102, 74, 23], [3, 32, 139, 109, 38], [0, 25, 96, 74, 41]]","{1: 197, 2: 180, 3: 226, 4: 321, 5: 236}","{1: 12, 2: 141, 3: 500, 4: 351, 5: 156}",1160,1160
deepseek-r1_32b,only_jc,2.52,1.21,1.59,0.44,0.95,0.14,"[[91, 46, 49, 9, 2], [41, 65, 57, 15, 2], [20, 64, 105, 31, 6], [40, 69, 152, 55, 5], [26, 61, 95, 50, 4]]","{1: 197, 2: 180, 3: 226, 4: 321, 5: 236}","{1: 218, 2: 305, 3: 458, 4: 160, 5: 19}",1160,1160
qwen3_32b,unstructured_context,2.16,1.13,1.47,0.44,0.87,0.12,"[[63, 39, 64, 26, 5], [15, 48, 68, 35, 14], [14, 47, 93, 59, 13], [20, 43, 135, 92, 31], [6, 27, 100, 71, 32]]","{1: 197, 2: 180, 3: 226, 4: 321, 5: 236}","{1: 118, 2: 204, 3: 460, 4: 283, 5: 95}",1160,1160
qwen3_32b,questionnaires,2.39,1.18,1.55,0.44,0.91,0.12,"[[87, 28, 51, 25, 6], [41, 32, 66, 34, 7], [31, 31, 77, 68, 19], [38, 35, 123, 94, 31], [18, 29, 89, 75, 25]]","{1: 197, 2: 180, 3: 226, 4: 321, 5: 236}","{1: 215, 2: 155, 3: 406, 4: 296, 5: 88}",1160,1160
qwen3_32b,both,2.22,1.13,1.49,0.45,0.84,0.12,"[[84, 34, 54, 21, 4], [31, 45, 66, 33, 5], [28, 40, 88, 54, 16], [28, 48, 117, 110, 18], [13, 33, 91, 83, 16]]","{1: 197, 2: 180, 3: 226, 4: 321, 5: 236}","{1: 184, 2: 200, 3: 416, 4: 301, 5: 59}",1160,1160
qwen3_32b,only_fcq,2.69,1.29,1.64,0.42,0.93,0.11,"[[0, 10, 88, 68, 31], [0, 10, 87, 53, 30], [2, 16, 76, 83, 49], [4, 12, 112, 126, 67], [1, 7, 85, 91, 52]]","{1: 197, 2: 180, 3: 226, 4: 321, 5: 236}","{1: 7, 2: 55, 3: 448, 4: 421, 5: 229}",1160,1160
qwen3_32b,only_jc,2.72,1.26,1.65,0.45,0.92,0.13,"[[56, 23, 24, 17, 9], [30, 23, 52, 18, 3], [24, 25, 46, 33, 8], [31, 35, 71, 61, 15], [17, 29, 49, 52, 9]]","{1: 197, 2: 180, 3: 226, 4: 321, 5: 236}","{1: 158, 2: 135, 3: 242, 4: 181, 5: 44}",760,760
llama3.1_8b,unstructured_context,2.49,1.26,1.58,0.44,0.95,0.14,"[[28, 133, 15, 21, 0], [3, 126, 17, 34, 0], [1, 150, 26, 49, 0], [4, 187, 43, 85, 2], [1, 119, 37, 79, 0]]","{1: 197, 2: 180, 3: 226, 4: 321, 5: 236}","{1: 37, 2: 715, 3: 138, 4: 268, 5: 2}",1160,1160
llama3.1_8b,questionnaires,2.49,1.24,1.58,0.45,0.96,0.14,"[[39, 111, 19, 28, 0], [9, 115, 24, 32, 0], [2, 130, 30, 64, 0], [3, 161, 58, 99, 0], [0, 129, 31, 76, 0]]","{1: 197, 2: 180, 3: 226, 4: 321, 5: 236}","{1: 53, 2: 646, 3: 162, 4: 299, 5: 0}",1160,1160
llama3.1_8b,both,2.57,1.26,1.60,0.45,0.95,0.14,"[[44, 119, 16, 18, 0], [7, 133, 12, 28, 0], [3, 150, 36, 37, 0], [6, 195, 36, 84, 0], [3, 131, 34, 68, 0]]","{1: 197, 2: 180, 3: 226, 4: 321, 5: 236}","{1: 63, 2: 728, 3: 134, 4: 235, 5: 0}",1160,1160
llama3.1_8b,only_fcq,2.41,1.23,1.55,0.42,0.97,0.13,"[[0, 64, 34, 99, 0], [0, 52, 35, 93, 0], [1, 57, 34, 134, 0], [0, 71, 57, 193, 0], [0, 48, 47, 141, 0]]","{1: 197, 2: 180, 3: 226, 4: 321, 5: 236}","{1: 1, 2: 292, 3: 207, 4: 660, 5: 0}",1160,1160
llama3.1_8b,only_jc,2.45,1.22,1.56,0.45,0.92,0.14,"[[45, 106, 20, 26, 0], [12, 108, 25, 35, 0], [5, 125, 38, 58, 0], [3, 164, 50, 103, 1], [4, 113, 36, 81, 2]]","{1: 197, 2: 180, 3: 226, 4: 321, 5: 236}","{1: 69, 2: 616, 3: 169, 4: 303, 5: 3}",1160,1160
